AnnualAverageWaterLevel,AnnualMaximumDailyWaterLevel,AnnualMaximumMomentWaterLevel,AnnualMinimumDailyWaterLevel,AnnualMinimumMomentWaterLevel,AnnualOccurredDateOfMaximumDailyWaterLevel,AnnualOccurredDateOfMinimumDailyWaterLevel,AnnualOccurredTimeOfMaximumMomentWaterLevel,AnnualOccurredTimeOfMinimumMomentWaterLevel,WellIdentifier,Year
"17.70","19.62","19.63","16.09","16.07","0904","0418","090219","041716","07100111","2012"
"18.62","20.10","20.11","16.66","16.61","0922","0322","092215","032217","07100111","2013"
"17.75","19.55","19.58","16.84","16.83","0101","1020","010117","102207","07100111","2014"
"21.13","22.05","22.06","20.60","19.97","0908","1231","090804","080210","07100112","2015"
"21.02","21.52","21.77","20.52","19.83","0613","1231","061317","050812","07100112","2016"
"20.88","23.34","23.44","19.49","18.81","0619","0209","061822","021112","07100112","2017"
"20.99","23.05","23.09","20.39","19.75","0826","0603","082605","060318","07100112","2018"
"20.41","23.13","23.21","18.60","18.34","0614","1125","061415","112516","07100112","2019"
"14.92","15.61","15.82","14.47","14.22","1204","1229","120506","122918","07100121","1994"
"14.35","16.42","16.52","13.38","13.26","0203","0512","020408","051209","07100121","1995"
"13.58","15.52","15.64","11.58","11.23","0223","0725","022308","072722","07100121","1996"
"13.48","15.17","15.48","11.99","11.83","0210","0516","021108","051621","07100121","1997"
"14.52","16.16","16.27","13.41","13.26","0131","0117","020104","011716","07100121","1998"
"14.03","19.14","20.49","11.74","11.58","0922","0429","092102","042820","07100121","1999"
"14.09","16.17","16.29","13.02","12.81","0208","0603","010303","060316","07100121","2000"
"13.43","15.18","15.33","12.15","11.97","0128","0824","012806","082418","07100121","2001"
"12.43","14.49","14.68","11.19","11.03","0102","0515","010204","051513","07100121","2002"
"11.30","13.79","13.94","10.38","10.12","0204","0807","020506","080717","07100121","2003"
"12.05","14.32","14.49","10.25","10.07","1214","0519","121502","051920","07100121","2004"
"13.64","15.52","15.68","12.56","12.40","0829","1111","082005","111117","07100121","2005"
"14.41","15.80","15.85","12.65","12.52","0202","0323","020208","032317","07100121","2006"
"14.62","16.88","16.96","12.87","12.78","1029","0601","102908","053121","07100121","2007"
"15.21","17.61","17.76","12.73","12.61","1117","0528","111706","052817","07100121","2008"
"14.25","16.43","16.50","13.15","13.02","0130","0603","013007","060320","07100121","2009"
"13.53","15.45","15.52","12.01","11.89","0218","0528","021906","052716","07100121","2010"
"12.49","14.60","14.70","11.53","11.42","0206","0513","020708","051318","07100121","2011"
"14.43","17.18","17.39","11.90","11.70","0903","0329","090305","032818","07100121","2012"
"15.89","18.28","18.37","13.47","13.37","0922","0322","092307","032221","07100121","2013"
"14.19","17.20","17.35","13.13","13.05","0102","1024","010207","103018","07100121","2014"
"15.88","16.36","16.38","14.17","14.15","0912","0807","091211","080623","07100122","2015"
"16.16","16.84","16.85","15.20","15.14","0503","0730","050310","080217","07100122","2016"
"15.80","17.08","17.09","14.22","14.21","0906","0512","090607","051124","07100122","2017"
"15.68","16.90","16.91","13.73","13.70","0115","0610","011509","060922","07100122","2018"
"16.14","17.81","17.82","14.26","14.21","0910","0306","091009","030521","07100122","2019"
"14.93","15.46","15.53","14.54","14.47","1017","1230","101713","122922","07100131","1994"
"14.30","16.03","16.08","13.58","13.53","0204","0429","020409","042920","07100131","1995"
"13.34","15.06","15.09","11.52","11.54","0223","0411","022308","072620","07100131","1996"
"13.33","14.84","15.00","11.82","11.73","0918","0516","070913","051623","07100131","1997"
"14.48","15.72","15.80","13.34","13.28","0201","0117","061507","011719","07100131","1998"
"13.93","18.40","18.56","11.65","11.63","0922","0429","092307","042822","07100131","1999"
"13.78","16.13","16.23","12.88","12.84","0208","0520","020906","052019","07100131","2000"
"13.04","14.66","14.79","11.92","11.84","0128","0518","111906","082420","07100131","2001"
"11.96","13.95","14.03","10.75","10.66","0102","0515","010207","051513","07100131","2002"
"10.70","13.07","13.17","8.79","8.74","0205","0705","020508","070516","07100131","2003"
"11.41","13.63","13.74","9.57","9.52","1215","0701","121506","070116","07100131","2004"
"13.58","15.46","15.54","11.93","11.88","1003","0331","100307","020418","07100131","2005"
"13.77","14.98","15.03","12.06","12.02","0202","0324","091809","032321","07100131","2006"
"13.94","16.06","16.09","12.27","12.25","1029","0601","102911","053123","07100131","2007"
"14.61","17.07","17.12","12.15","12.10","1117","0528","110314","052821","07100131","2008"
"13.73","15.98","16.11","12.69","12.64","0131","0731","013109","060322","07100131","2009"
"12.96","14.71","14.76","11.50","11.46","0218","0528","021908","052723","07100131","2010"
"11.96","13.93","13.99","11.04","10.96","0207","0624","020709","062423","07100131","2011"
"13.85","16.50","16.56","11.63","11.58","0903","0330","090309","041323","07100131","2012"
"15.44","17.81","17.86","13.08","13.03","0923","0323","092308","032324","07100131","2013"
"14.18","16.71","16.76","12.97","12.95","0105","1030","010519","103001","07100131","2014"
"10.99","12.28","12.55","9.51","9.45","0928","0807","092908","080718","07100132","2015"
"11.21","12.51","12.86","10.47","10.38","0212","0812","021224","072919","07100132","2016"
"11.26","13.22","13.36","9.15","9.06","0911","0519","091109","051224","07100132","2017"
"11.07","12.67","12.97","9.01","8.91","0115","0609","011508","060920","07100132","2018"
"11.42","13.35","13.43","9.96","9.87","0915","0307","091609","030624","07100132","2019"
"12.39","12.76","12.77","12.11","12.08","1017","1231","101715","123123","07100141","1994"
"10.98","12.08","12.09","10.04","10.02","0101","1230","010104","123024","07100141","1995"
"9.82","10.58","10.64","8.82","8.80","1205","0501","120512","050122","07100141","1996"
"10.08","11.01","11.13","9.12","9.08","0926","0518","100317","051811","07100141","1997"
"10.30","11.12","11.14","9.36","9.21","0707","0128","070716","012724","07100141","1998"
"9.27","11.96","12.05","7.57","7.53","0927","0520","092622","052012","07100141","1999"
"8.48","10.12","10.15","7.71","7.65","0102","0801","010215","080106","07100141","2000"
"7.61","8.40","8.86","6.69","6.68","0111","0330","103124","033010","07100141","2001"
"6.29","8.06","8.08","5.42","5.36","0103","0521","010307","052109","07100141","2002"
"4.22","5.83","5.89","3.16","3.12","0103","1026","020916","102801","07100141","2003"
"3.96","5.71","5.79","2.52","2.49","0927","0627","092804","062807","07100141","2004"
"6.01","7.55","7.60","4.64","4.56","1113","0209","111314","020904","07100141","2005"
"6.35","7.41","7.59","5.03","4.95","1009","0405","092514","040522","07100141","2006"
"7.04","9.21","9.22","5.72","5.69","1128","0809","112815","081110","07100141","2007"
"8.41","10.86","10.94","6.50","6.48","1218","0612","123118","061107","07100141","2008"
"8.72","10.83","10.89","7.68","7.65","0101","0617","010617","061808","07100141","2009"
"7.20","8.56","8.62","6.14","6.13","0107","0617","010913","061702","07100141","2010"
"5.30","7.27","7.30","4.20","4.20","0113","0626","011312","062604","07100141","2011"
"7.24","8.84","8.87","5.50","5.49","0921","0101","091917","010103","07100141","2012"
"9.16","10.90","10.92","7.65","7.64","1001","0326","100115","032609","07100141","2013"
"9.14","10.38","10.42","7.83","7.80","0211","1109","012109","111708","07100141","2014"
"7.27","8.44","8.49","5.99","5.99","1124","0807","112514","080705","07100141","2015"
"7.44","8.41","8.52","6.95","6.93","0127","0913","012621","091310","07100141","2016"
"6.59","8.00","8.06","5.09","5.08","0916","0412","091605","041122","07100141","2017"
"7.29","7.46","7.47","6.96","6.98","0110","0131","","","07100141","2018"
"32.32","33.32","33.33","30.54","30.48","0923","0701","101313","070102","07100211","2007"
"31.12","33.31","33.32","29.20","29.18","0919","0528","093014","052820","07100211","2008"
"31.14","32.51","32.52","29.96","29.95","0822","1231","082205","123120","07100211","2009"
"29.94","31.97","31.99","28.04","28.00","1009","0522","100816","052211","07100211","2010"
"28.39","30.50","30.52","26.86","26.84","0101","0625","010101","062424","07100211","2011"
"28.50","31.84","31.93","22.17","21.44","0915","0320","091512","031916","07100211","2012"
"30.57","33.37","33.39","28.38","28.35","0923","0401","092324","040109","07100211","2013"
"29.63","31.52","31.53","27.87","27.86","0107","1231","010705","123017","07100211","2014"
"27.53","29.07","29.08","25.86","25.84","1018","0519","101616","051911","07100211","2015"
"29.55","30.24","30.25","28.45","28.44","1023","0114","102304","011420","07100211","2016"
"31.04","33.12","33.14","28.36","28.32","0719","0511","080212","050610","07100211","2017"
"31.21","32.88","32.89","29.73","29.72","0903","0617","090318","061708","07100211","2018"
"31.28","33.37","33.37","29.33","29.31","0824","0430","082408","043019","07100211","2019"
"28.88","33.63","33.63","17.18","17.18","1215","1201","121411","120101","07100221","2007"
"39.03","50.44","50.50","23.23","23.23","0301","1128","030112","112719","07100221","2008"
"32.92","39.35","39.67","28.87","28.83","0119","1212","011910","121312","07100221","2009"
"24.50","29.89","29.91","20.87","20.86","0106","1225","010611","121019","07100221","2010"
"21.32","23.50","23.53","18.19","18.10","0509","0207","050924","020717","07100221","2011"
"23.24","28.83","28.99","19.36","19.32","1101","0513","110213","051404","07100221","2012"
"27.50","31.90","31.95","25.09","25.04","1219","0526","121918","061508","07100221","2013"
"30.08","32.80","32.92","27.08","27.06","0220","1225","022017","122501","07100221","2014"
"23.94","27.08","27.46","21.18","21.06","0310","0807","030921","080703","07100221","2015"
"20.22","22.74","22.96","19.11","19.09","0202","0925","020302","092224","07100221","2016"
"21.11","26.43","26.69","17.58","17.56","1220","0512","121920","051201","07100221","2017"
"25.04","27.67","27.90","23.31","23.29","0301","0811","030202","081023","07100221","2018"
"24.08","26.88","27.24","22.71","22.57","0116","0712","011612","072505","07100221","2019"
"10.41","10.88","11.02","10.02","9.89","1011","1027","101107","102921","07110111","1994"
"10.32","11.90","11.95","9.52","9.40","0617","0919","061706","091720","07110111","1995"
"9.94","11.78","11.84","8.78","8.69","0601","0328","060111","032819","07110111","1996"
"10.04","11.82","11.87","8.53","8.44","0704","0313","070410","030724","07110111","1997"
"10.24","12.43","12.48","8.83","8.72","0612","1003","061307","100320","07110111","1998"
"9.37","13.31","13.52","7.24","7.16","0922","0308","092102","030818","07110111","1999"
"9.43","10.93","10.97","8.12","8.05","0503","0605","050405","060512","07110111","2000"
"9.23","10.90","10.94","7.54","7.45","0930","0307","100105","030622","07110111","2001"
"8.23","9.96","10.00","6.50","6.36","0809","0513","081307","051322","07110111","2002"
"7.40","9.22","9.31","6.16","6.04","0101","0920","010106","092020","07110111","2003"
"7.65","10.01","10.08","5.76","5.70","0917","0619","091706","030121","07110111","2004"
"10.26","12.75","12.85","8.11","8.02","1030","0326","102020","032620","07110111","2005"
"9.22","12.03","12.38","7.28","7.24","0105","0328","010818","032907","07110111","2006"
"9.32","11.00","11.07","6.96","6.87","1011","0803","101206","080223","07110111","2007"
"9.30","11.28","11.32","6.96","6.83","1010","0518","101006","051823","07110111","2008"
"8.73","10.30","10.40","7.01","6.86","0105","0301","010508","030119","07110111","2009"
"8.72","10.13","10.15","7.02","6.88","0913","0522","091307","052121","07110111","2010"
"8.50","9.04","9.09","7.52","7.36","0123","0227","011504","022621","07110111","2011"
"8.70","10.61","10.66","6.72","6.61","1212","0617","121214","061623","07110112","2011"
"11.22","13.08","13.17","9.48","9.41","0821","0220","082114","022019","07110112","2012"
"11.94","13.60","13.78","10.21","10.12","0904","0315","081517","031422","07110112","2013"
"11.07","13.36","13.37","9.64","9.56","0609","1023","060917","101121","07110112","2014"
"9.19","11.03","11.06","6.61","6.49","0909","0517","091008","051622","07110112","2015"
"10.46","12.04","12.06","8.48","8.28","0503","0731","050311","073124","07110112","2016"
"10.16","12.31","12.33","7.88","7.70","0622","0221","062308","022121","07110112","2017"
"9.77","12.05","12.07","7.10","7.00","0112","0608","011207","060724","07110112","2018"
"9.75","11.80","11.83","7.49","7.33","0828","0223","082807","022322","07110112","2019"
"10.31","11.64","11.66","9.52","9.47","0822","1027","082207","102713","07110121","1994"
"9.76","11.03","11.10","8.88","8.85","0619","0512","061907","051212","07110121","1995"
"9.26","10.80","10.87","7.97","7.93","0603","0329","060307","032915","07110121","1996"
"9.26","10.78","10.82","7.74","8.01","0707","0315","070709","051708","07110121","1997"
"9.52","11.47","11.50","8.04","7.99","0615","1013","061508","101224","07110121","1998"
"8.72","13.33","13.43","6.71","6.66","0922","0311","092115","030923","07110121","1999"
"8.76","9.94","10.00","7.51","7.44","0904","1012","090411","101222","07110121","2000"
"8.78","11.33","11.48","7.16","6.03","0924","0308","092216","033124","07110121","2001"
"7.54","8.97","9.17","5.71","5.68","0214","0515","021413","051517","07110121","2002"
"6.61","8.62","8.65","5.40","5.35","0205","1007","020508","100719","07110121","2003"
"6.80","8.96","9.09","4.91","4.89","0919","0323","091710","032019","07110121","2004"
"8.45","10.44","10.56","5.94","5.89","0905","1130","090510","113001","07110121","2005"
"8.34","10.17","10.22","6.35","6.30","0617","0320","061713","032019","07110121","2006"
"8.61","10.07","10.10","6.58","6.55","1012","0803","101208","080317","07110121","2007"
"8.62","10.42","10.47","6.57","6.53","1012","0518","101306","051623","07110121","2008"
"8.10","9.78","9.81","6.81","6.74","0105","0305","010507","030524","07110121","2009"
"8.05","9.35","9.39","6.72","6.68","0111","0522","011107","052219","07110121","2010"
"7.64","8.28","8.33","6.58","6.50","0101","0228","010115","022823","07110121","2011"
"6.18","7.90","7.95","4.89","4.84","1212","0621","121214","062123","07110122","2011"
"8.16","10.06","10.15","6.39","6.32","0827","0401","082714","033124","07110122","2012"
"9.27","10.84","10.86","6.83","6.82","0904","0316","090503","031523","07110122","2013"
"8.78","10.78","10.79","7.28","7.24","0610","1018","061104","101724","07110122","2014"
"8.28","10.47","10.49","6.33","6.28","1228","0410","122808","041024","07110122","2015"
"8.13","11.34","11.35","-1.23","-1.23","0503","1101","050308","110101","07110122","2016"
"9.03","10.95","10.97","-1.17","-1.18","0624","0102","062407","010112","07110122","2017"
"9.02","11.11","11.13","6.42","0.00","0115","0609","011508","011916","07110122","2018"
"9.40","11.04","11.06","7.29","7.26","0828","0303","082815","030222","07110122","2019"
"6.88","7.39","7.41","6.51","6.49","0916","1030","091612","103007","07110131","1994"
"5.96","6.62","6.63","5.26","5.24","0103","1102","010213","110206","07110131","1995"
"5.13","5.68","5.69","4.56","4.54","0607","0401","060612","040109","07110131","1996"
"5.09","5.73","5.74","4.47","4.46","0918","0324","091804","032323","07110131","1997"
"4.83","5.49","5.50","4.17","4.16","0321","1013","032112","101304","07110131","1998"
"4.00","7.82","8.74","2.64","2.62","0921","0429","092102","050110","07110131","1999"
"3.90","4.88","4.90","2.94","2.91","0103","1030","010317","103001","07110131","2000"
"3.56","4.27","4.29","2.70","2.47","1016","0401","101214","040313","07110131","2001"
"2.60","3.78","3.82","1.54","1.52","0104","0518","010513","051903","07110131","2002"
"1.52","2.63","2.67","0.77","0.73","0108","1025","010813","102422","07110131","2003"
"1.68","2.81","2.84","0.48","0.46","1221","0701","122114","070119","07110131","2004"
"3.16","4.03","4.04","2.56","2.55","0913","0430","090116","050406","07110131","2005"
"3.29","3.90","3.91","2.33","2.32","0731","0409","073110","040907","07110131","2006"
"3.67","4.92","4.93","2.67","2.66","1205","0809","120612","080908","07110131","2007"
"4.22","5.54","5.55","2.73","2.73","1201","0528","120115","052804","07110131","2008"
"4.42","5.64","5.64","3.90","3.90","0115","0609","011418","060709","07110131","2009"
"3.86","4.72","4.73","3.24","3.23","0119","0526","011916","052608","07110131","2010"
"3.58","3.83","4.21","3.44","3.40","0101","0228","010101","022807","07110131","2011"
"2.35","3.37","3.43","1.79","1.77","1229","0628","122915","062824","07110132","2011"
"4.22","5.37","5.43","3.21","3.16","1229","0417","122915","041115","07110132","2012"
"5.68","6.67","6.68","4.27","4.25","0928","0326","092713","032624","07110132","2013"
"5.50","6.49","6.50","4.68","4.67","0103","1109","010307","110909","07110132","2014"
"4.77","6.23","6.24","3.68","3.67","1230","0519","123020","051910","07110132","2015"
"5.86","6.74","6.75","5.10","5.09","0217","0814","021703","081411","07110132","2016"
"5.03","5.87","5.87","4.12","4.11","0102","0411","010119","041111","07110132","2017"
"4.36","5.54","5.55","2.89","2.88","0118","0616","011919","061611","07110132","2018"
"4.71","5.60","5.62","3.85","3.84","0911","0318","091112","031810","07110132","2019"
"40.52","42.00","42.01","38.86","38.83","1017","1231","101714","123124","07120111","1994"
"38.89","40.73","40.74","36.75","36.73","0830","1231","080611","123121","07120111","1995"
"37.56","40.79","40.80","34.99","34.99","0901","0401","090205","033120","07120111","1996"
"37.83","40.16","40.16","35.88","35.87","0911","0319","091002","031717","07120111","1997"
"38.72","40.66","40.67","36.17","36.17","0712","0213","071214","021211","07120111","1998"
"37.47","40.52","40.60","35.24","35.24","0903","0430","092102","043010","07120111","1999"
"36.09","37.50","37.51","35.02","35.01","0913","0310","091401","032211","07120111","2000"
"36.38","38.84","38.88","34.83","34.68","1010","0404","100712","041915","07120111","2001"
"35.07","36.52","36.66","33.62","24.50","0101","0518","010114","071514","07120111","2002"
"33.37","34.30","34.31","32.59","32.59","0101","0515","010101","051418","07120111","2003"
"34.04","37.71","37.72","31.63","31.56","1004","0330","100313","033020","07120111","2004"
"37.51","41.56","41.58","34.35","34.34","0916","0304","091514","030422","07120111","2005"
"37.43","40.43","40.45","34.84","34.83","0808","0413","080814","041311","07120111","2006"
"37.04","41.14","41.14","34.47","34.46","1029","0517","102814","051719","07120111","2007"
"38.67","42.84","42.84","35.33","35.32","1019","0525","101803","052611","07120111","2008"
"36.84","39.82","39.84","35.31","35.30","0101","0612","010101","061819","07120111","2009"
"35.16","37.06","37.15","33.51","33.50","1010","0602","101015","060109","07120111","2010"
"34.17","35.34","35.42","33.24","33.23","0101","0517","010114","051708","07120111","2011"
"36.61","40.98","41.08","33.78","33.76","0906","0417","090616","041908","07120111","2012"
"37.95","42.14","42.16","35.16","35.16","0921","0404","092115","040321","07120111","2013"
"36.37","38.18","38.19","34.99","34.97","0101","1231","010101","123124","07120111","2014"
"34.78","36.91","36.92","32.79","32.78","1022","0519","102305","051910","07120111","2015"
"35.72","37.28","37.29","34.54","28.55","1028","0309","102905","090214","07120111","2016"
"36.73","40.37","40.39","33.45","0.00","0820","0513","082204","021512","07120111","2017"
"35.35","37.46","37.47","33.49","0.00","0929","0614","092906","082012","07120111","2018"
"35.93","39.80","39.80","33.11","33.10","0915","0429","091504","043017","07120111","2019"
"37.22","38.22","38.22","35.23","35.20","0911","1231","091007","123124","07120121","1997"
"36.86","38.70","38.71","34.41","34.40","0713","0212","071305","020922","07120121","1998"
"35.54","38.50","38.51","33.44","33.42","0903","0430","090309","050110","07120121","1999"
"34.16","35.48","35.50","33.21","33.20","0913","0322","091404","032123","07120121","2000"
"34.39","36.69","36.70","32.94","32.92","1010","0404","100917","040419","07120121","2001"
"33.13","34.51","34.53","31.83","31.82","0101","0519","010104","051918","07120121","2002"
"31.50","32.44","32.46","30.74","30.73","0101","0606","010102","060617","07120121","2003"
"32.11","35.64","35.66","29.82","29.81","1001","0519","092906","051910","07120121","2004"
"35.29","39.24","39.27","32.46","32.44","0909","0304","090919","030420","07120121","2005"
"35.28","38.22","38.25","32.87","32.86","0809","0414","080905","041223","07120121","2006"
"35.31","44.11","44.87","32.62","32.61","0910","0517","091018","051622","07120121","2007"
"36.62","40.77","40.78","33.44","33.44","1019","0526","101605","052512","07120121","2008"
"34.76","37.02","37.05","33.44","33.42","0101","0618","010105","061921","07120121","2009"
"33.33","35.14","35.21","31.73","31.71","1010","0522","100915","052218","07120121","2010"
"32.39","33.46","33.54","31.37","31.36","0101","0517","010114","051623","07120121","2011"
"34.77","38.95","39.03","31.98","31.96","0905","0417","090616","041923","07120121","2012"
"36.09","40.19","40.20","33.34","33.33","0921","0404","092105","040421","07120121","2013"
"34.60","36.35","36.38","33.24","33.22","0101","1231","010106","123120","07120121","2014"
"32.99","35.04","35.06","31.03","31.01","1026","0519","102604","051911","07120121","2015"
"33.85","35.27","35.29","32.55","25.90","1030","0406","103006","040611","07120121","2016"
"34.63","38.00","38.03","31.55","31.47","0817","0515","082106","041815","07120121","2017"
"33.40","35.38","35.40","31.52","31.50","0925","0616","092505","061613","07120121","2018"
"34.13","37.87","37.88","31.40","31.39","0914","0430","091316","043020","07120121","2019"
"37.96","40.36","40.36","35.94","37.22","0911","0320","091101","123119","071211M2","1997"
"38.88","40.90","40.91","36.27","36.26","0713","0211","071224","021218","071211M2","1998"
"37.61","40.82","40.83","35.35","35.35","0905","0506","090514","050516","071211M2","1999"
"36.23","37.61","37.62","35.14","35.00","0913","0227","091402","052409","071211M2","2000"
"36.46","38.91","38.91","34.93","34.93","1010","0315","100903","031316","071211M2","2001"
"35.18","36.60","36.62","33.86","33.85","0101","0521","010101","052118","071211M2","2002"
"33.52","34.40","34.41","32.75","32.74","0101","0515","010101","051619","071211M2","2003"
"34.18","37.88","37.89","31.80","31.79","1003","0519","100403","052012","071211M2","2004"
"38.19","43.30","43.34","34.47","34.46","0827","0304","081606","030418","071211M2","2005"
"37.60","40.56","40.58","34.90","34.89","0808","0425","080904","042418","071211M2","2006"
"37.25","41.40","41.40","34.58","34.57","1029","0517","102804","051813","071211M2","2007"
"38.91","43.20","43.21","35.84","35.82","1019","0430","101914","050111","071211M2","2008"
"36.77","39.18","39.21","35.37","35.36","0101","0618","010101","061916","071211M2","2009"
"35.31","37.30","37.31","33.54","33.54","1010","0524","101104","052221","071211M2","2010"
"34.29","35.65","35.67","33.39","33.38","0101","0522","010101","062113","071211M2","2011"
"3.34","3.77","3.89","2.71","2.37","1120","1022","112007","102217","07140111","1994"
"3.22","5.02","5.10","2.05","1.84","0616","0918","061706","091720","07140111","1995"
"2.98","5.03","5.12","0.04","-0.28","0530","0308","060106","030819","07140111","1996"
"3.09","5.20","5.24","0.80","0.60","0704","0308","070406","030821","07140111","1997"
"3.38","5.74","5.81","1.52","1.18","0612","0918","061206","092015","07140111","1998"
"2.38","4.82","5.17","-1.43","-1.67","0922","0307","092102","030718","07140111","1999"
"2.51","4.30","4.35","0.69","0.27","0830","0708","083008","072618","07140111","2000"
"3.04","4.82","4.87","-0.29","-0.71","0930","0301","100107","022818","07140111","2001"
"2.12","3.78","3.84","-1.29","-2.83","0809","0306","080907","030418","07140111","2002"
"1.37","2.98","3.08","-1.59","-2.02","0618","0303","041607","030319","07140111","2003"
"1.61","3.89","3.97","-2.15","-2.42","0916","0302","091707","030121","07140111","2004"
"2.81","5.11","6.59","1.51","1.10","0912","0226","110218","031819","07140111","2005"
"2.74","5.09","5.12","-1.01","-1.49","0612","0307","061304","031220","07140111","2006"
"2.88","4.50","4.60","0.04","-0.29","1011","0306","101207","030519","07140111","2007"
"2.80","4.78","4.85","-0.41","-0.81","1010","0309","101107","030919","07140111","2008"
"2.44","4.05","4.13","-0.78","-1.13","0811","0302","081205","030219","07140111","2009"
"2.36","3.91","4.03","-0.42","-0.82","0701","0307","070206","030719","07140111","2010"
"1.35","3.19","3.22","-0.66","-1.00","1213","0619","121401","030719","07140111","2011"
"2.92","4.85","4.90","0.43","0.12","0623","0308","062405","030819","07140111","2012"
"3.59","5.61","5.67","0.40","0.06","0902","0311","090304","031020","07140111","2013"
"3.02","5.38","5.45","0.89","0.50","0609","0302","061004","030819","07140111","2014"
"2.64","4.90","4.96","-0.41","-0.74","0910","0308","091008","030817","07140111","2015"
"3.46","5.13","5.21","1.78","0.00","0502","0926","050207","031013","07140111","2016"
"2.37","4.61","4.65","0.37","0.08","0622","0305","062305","030519","07140111","2017"
"2.55","4.94","4.99","-0.16","-0.43","0830","0608","090107","060812","07140111","2018"
"3.05","4.78","4.94","-0.33","-0.66","0820","0302","061415","030119","07140111","2019"
"0.94","1.05","1.12","0.80","0.78","1206","1123","120608","112313","07140121","1994"
"0.39","1.71","1.76","-0.85","-0.89","0620","0919","062007","091921","07140121","1995"
"0.12","1.94","2.03","-1.58","-1.63","0603","0323","060307","032221","07140121","1996"
"0.28","1.82","1.85","-1.97","-2.00","0707","0312","070709","031120","07140121","1997"
"0.52","2.58","2.65","-1.37","-1.46","0615","0827","061509","082722","07140121","1998"
"-0.43","3.46","3.92","-3.40","-3.46","0922","0311","092102","031022","07140121","1999"
"-0.22","1.08","1.19","-1.92","-1.99","0507","0604","050806","060416","07140121","2000"
"0.13","1.71","1.84","-2.51","-2.56","1002","0308","030109","030819","07140121","2001"
"-1.02","0.75","0.78","-3.73","-3.77","0216","0520","021608","051912","07140121","2002"
"-2.07","0.20","0.24","-3.99","-4.02","0206","0306","020607","030621","07140121","2003"
"-1.84","0.28","0.31","-4.53","-4.59","0920","0303","092006","030322","07140121","2004"
"-0.26","1.29","1.32","-1.46","-1.51","0906","0227","090605","032623","07140121","2005"
"-0.48","1.59","1.63","-3.43","-3.50","0616","0313","061707","031222","07140121","2006"
"-0.32","1.02","1.09","-2.64","-2.71","1014","0803","101507","080321","07140121","2007"
"-0.50","1.45","1.49","-3.04","-3.08","1013","0519","101306","051821","07140121","2008"
"-0.78","1.06","1.11","-2.40","-2.41","0202","0331","020206","033120","07140121","2009"
"-0.90","0.47","0.49","-2.75","-2.81","0220","0312","022009","031118","07140121","2010"
"-1.86","0.24","0.29","-3.88","-3.93","0207","0619","020806","061920","07140121","2011"
"0.02","1.98","2.01","-1.86","-1.90","1217","0403","121709","040422","07140121","2012"
"1.00","2.60","2.64","-2.07","-2.11","0908","0316","090907","031520","07140121","2013"
"0.46","2.59","2.63","-1.26","-1.29","0611","1018","061111","101722","07140121","2014"
"-0.02","2.01","2.05","-2.34","-2.42","1230","0307","123008","030722","07140121","2015"
"1.28","2.89","2.92","-0.48","-0.51","0212","0730","021206","073022","07140121","2016"
"0.24","1.76","1.81","-1.84","-1.88","0103","0305","010308","030423","07140121","2017"
"-0.06","1.95","1.99","-3.11","-3.15","0115","0609","011504","060914","07140121","2018"
"0.76","2.48","2.53","-2.19","-2.22","0826","0303","082605","030310","07140121","2019"
"0.55","0.64","0.64","0.36","0.34","1226","1123","122602","112311","07140131","1994"
"0.06","0.77","0.77","-0.81","-0.81","0414","1025","041311","102322","07140131","1995"
"-0.52","0.58","0.58","-1.40","-1.41","0606","0728","060519","072807","07140131","1996"
"-0.56","0.27","0.28","-1.55","-1.59","0128","0323","011609","032324","07140131","1997"
"-1.00","0.10","0.11","-2.14","-2.15","0319","1012","031917","101302","07140131","1998"
"-1.81","1.31","1.32","-3.15","-3.16","0922","0414","092214","041409","07140131","1999"
"-1.87","-1.06","-1.06","-2.88","-2.88","0216","1022","021219","102020","07140131","2000"
"-1.74","-0.89","-0.88","-2.99","-3.00","1011","0325","101014","032508","07140131","2001"
"-2.50","-1.44","-1.43","-3.85","-3.86","0218","0516","021803","051702","07140131","2002"
"-3.47","-2.06","-2.05","-4.47","-4.48","0215","1013","021513","101312","07140131","2003"
"-3.36","-2.09","-2.07","-4.62","-4.64","1224","0701","122708","070201","07140131","2004"
"-1.84","-1.02","-1.01","-2.37","-2.39","0912","0301","091208","030114","07140131","2005"
"-2.01","-1.05","-1.03","-3.17","-3.19","0620","0322","062108","032215","07140131","2006"
"-1.88","-0.93","-0.92","-3.15","-3.16","1205","0810","120603","080924","07140131","2007"
"-1.61","-0.37","-0.37","-3.22","-3.23","1201","0528","102014","052822","07140131","2008"
"-1.48","-0.32","-0.31","-2.76","-2.78","0106","0331","010705","033119","07140131","2009"
"-1.74","-0.97","-0.96","-2.42","-2.43","0117","0407","011716","040720","07140131","2010"
"-2.33","-1.10","-1.10","-3.35","-3.36","0210","0626","020915","062606","07140131","2011"
"-0.76","0.34","0.40","-1.84","-1.85","1229","0416","122914","041601","07140131","2012"
"0.27","1.15","1.17","-1.36","-1.37","0914","0325","091215","032503","07140131","2013"
"-0.03","1.18","1.19","-1.03","-1.05","0619","1026","061912","102907","07140131","2014"
"-0.68","0.72","0.72","-2.04","-2.05","1231","0519","123013","051923","07140131","2015"
"0.26","1.31","1.31","-0.72","-0.72","0214","0812","021402","081121","07140131","2016"
